,name,condition,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,beanEaten,firstResponseTime,trialTime
0,Model_13,None,4,1,13,11,6,7,1,88,681
1,Model_13,1,13,11,12,13,4,1,1,103,1733
2,Model_13,0,12,13,13,1,13,11,1,87,258
3,Model_13,3,13,1,1,8,12,13,1,84,1141
4,Model_13,-1,1,8,7,13,13,1,2,90,1580
5,Model_13,-3,1,8,13,11,7,13,2,87,688
6,Model_13,5,1,8,3,1,13,11,1,86,1290
7,Model_13,-5,3,1,1,13,1,8,2,85,429
8,Model_13,-3,3,1,13,13,1,13,2,83,1028
9,Model_13,0,3,1,1,3,13,13,2,86,1881
10,Model_13,1,3,1,1,9,1,3,1,89,344
11,Model_13,0,1,9,13,1,3,1,2,84,857
12,Model_13,0,1,9,5,13,13,1,2,85,1717
13,Model_13,5,1,9,13,8,5,13,1,86,682
14,Model_13,-5,13,8,1,1,1,9,2,87,691
15,Model_13,1,13,8,9,13,1,1,1,84,1633
16,Model_13,-1,9,13,12,1,13,8,2,84,688
17,Model_13,1,9,13,1,6,12,1,1,84,1307
18,Model_13,-3,1,6,13,5,9,13,2,85,1033
19,Model_13,-5,1,6,13,13,13,5,2,85,689
20,Model_13,3,1,6,3,1,13,13,1,84,1676
21,Model_13,-5,3,1,1,12,1,6,2,89,531
22,Model_13,5,3,1,13,6,1,12,1,86,1121
23,Model_13,3,13,6,9,13,3,1,1,92,1295
24,Model_13,1,9,13,6,1,13,6,1,86,936
25,Model_13,5,6,1,1,1,9,13,1,87,1315
26,Model_13,-3,1,1,10,1,6,1,2,84,344
27,Model_13,-5,1,1,13,2,10,1,2,85,338
28,Model_13,5,1,1,6,13,13,2,1,86,1114
29,Model_13,3,6,13,13,9,1,1,1,83,1468
30,Model_13,5,13,9,1,2,6,13,1,84,956
31,Model_13,-1,1,2,3,1,13,9,2,89,1538
32,Model_13,3,1,2,12,1,3,1,1,85,254
33,Model_13,0,12,1,2,13,1,2,2,83,1048
34,Model_13,-1,12,1,13,3,2,13,2,90,1806
35,Model_13,0,12,1,13,6,13,3,1,85,257
36,Model_13,-5,13,6,5,1,12,1,1,82,511
37,Model_13,1,5,1,6,13,13,6,1,82,1104
38,Model_13,-1,6,13,13,5,5,1,2,90,1053
39,Model_13,-3,6,13,5,1,13,5,2,88,1020
40,Model_13,1,6,13,13,7,5,1,1,87,1108
41,Model_13,-1,13,7,1,6,6,13,2,89,1033
42,Model_13,-3,13,7,4,13,1,6,2,83,855
43,Model_13,3,13,7,10,1,4,13,1,83,1285
44,Model_13,-1,10,1,11,13,13,7,2,82,678
45,Model_13,-3,10,1,1,13,11,13,2,83,851
46,Model_13,1,10,1,13,3,1,13,1,92,1819
47,Model_13,3,13,3,2,1,10,1,1,86,426
48,Model_13,-5,2,1,13,12,13,3,2,83,767
49,Model_13,0,2,1,1,2,13,12,1,87,1903
50,Model_13,0,1,2,4,1,2,1,1,83,173
51,Model_13,1,4,1,1,10,1,2,1,83,337
52,Model_13,3,1,10,13,7,4,1,1,82,1023
53,Model_13,-5,13,7,2,1,1,10,2,85,851
54,Model_13,0,13,7,7,13,2,1,1,86,1468
55,Model_13,1,7,13,6,1,13,7,1,83,1028
56,Model_13,-3,6,1,13,9,7,13,2,85,855
57,Model_13,0,6,1,2,13,13,9,2,88,1273
58,Model_13,-5,6,1,13,13,2,13,2,86,944
59,Model_13,-3,6,1,1,9,13,13,2,85,1344
60,Model_13,3,6,1,13,13,1,9,1,85,1101
61,Model_13,-5,13,13,1,10,6,1,2,86,1191
62,Model_13,-1,13,13,6,1,1,10,2,83,1180
63,Model_13,-3,13,13,1,12,6,1,2,85,1341
64,Model_13,3,13,13,6,1,1,12,1,94,1114
65,Model_13,-5,6,1,1,11,13,13,2,88,1183
66,Model_13,0,6,1,13,8,1,11,1,84,1258
67,Model_13,0,13,8,1,10,6,1,1,90,1203
68,Model_13,5,1,10,1,1,13,8,1,82,1176
69,Model_13,-5,1,1,2,13,1,10,2,86,337
70,Model_13,-3,1,1,13,13,2,13,2,80,921
71,Model_13,-1,1,1,1,2,13,13,2,85,1971
72,Model_13,5,1,1,1,8,1,2,1,82,82
73,Model_13,-3,1,8,8,1,1,1,2,81,590
74,Model_13,-5,1,8,13,5,8,1,2,87,764
75,Model_13,-1,1,8,7,13,13,5,2,88,1184
76,Model_13,5,1,8,13,3,7,13,1,86,925
77,Model_13,1,13,3,12,1,1,8,1,85,1429
78,Model_13,0,12,1,13,10,13,3,1,86,253
79,Model_13,-5,13,10,4,1,12,1,2,82,677
80,Model_13,3,13,10,13,13,4,1,1,84,1520
81,Model_13,-1,13,13,13,8,13,10,2,90,182
82,Model_13,0,13,13,13,3,13,8,1,82,427
83,Model_13,5,13,3,1,10,13,13,1,82,845
84,Model_13,-1,1,10,5,13,13,3,2,87,1537
85,Model_13,3,1,10,13,11,5,13,1,86,589
86,Model_13,-1,13,11,4,1,1,10,2,86,1024
87,Model_13,-1,13,11,10,13,4,1,2,81,1519
88,Model_13,-3,13,11,3,13,10,13,1,85,421
89,Model_13,-3,3,13,13,1,13,11,2,82,850
90,Model_13,1,3,13,1,12,13,1,1,87,1870
91,Model_13,-1,1,12,8,13,3,13,1,84,271
92,Model_13,-3,8,13,1,4,1,12,2,81,674
93,Model_13,3,8,13,13,11,1,4,1,82,1340
94,Model_13,0,13,11,1,13,8,13,1,85,591
95,Model_13,1,1,13,8,1,13,11,1,86,1194
96,Model_13,5,8,1,13,1,1,13,1,85,1595
97,Model_13,3,13,1,1,2,8,1,1,85,422
98,Model_13,-1,1,2,13,13,13,1,0,81,923
0,Model_13,-1,8,2,11,8,6,7,2,99,526
1,Model_13,1,8,2,6,13,11,8,1,83,768
2,Model_13,3,6,13,13,13,8,2,1,82,1102
3,Model_13,1,13,13,1,10,6,13,1,90,601
4,Model_13,5,1,10,5,1,13,13,1,87,1305
5,Model_13,0,5,1,11,13,1,10,2,83,1095
6,Model_13,-5,5,1,1,10,11,13,2,85,1090
7,Model_13,1,5,1,12,13,1,10,1,96,1150
8,Model_13,-3,12,13,1,13,5,1,2,85,1409
9,Model_13,1,12,13,1,1,1,13,1,93,955
10,Model_13,-1,1,1,2,1,12,13,2,86,1864
11,Model_13,0,1,1,9,1,2,1,1,82,82
12,Model_13,-3,9,1,1,10,1,1,1,82,680
13,Model_13,0,1,10,4,13,9,1,1,81,1426
14,Model_13,3,4,13,1,1,1,10,1,85,532
15,Model_13,-1,1,1,13,8,4,13,2,82,1178
16,Model_13,-5,1,1,4,13,13,8,2,86,1176
17,Model_13,0,1,1,13,7,4,13,2,86,1276
18,Model_13,0,1,1,1,13,13,7,1,83,1514
19,Model_13,0,1,13,13,1,1,1,2,86,1032
20,Model_13,-5,1,13,1,8,13,1,2,81,1604
21,Model_13,5,1,13,4,1,1,8,1,88,426
22,Model_13,-3,4,1,13,13,1,13,2,82,1008
23,Model_13,-3,4,1,1,7,13,13,2,87,1533
24,Model_13,-1,4,1,3,13,1,7,2,85,677
25,Model_13,-1,4,1,13,11,3,13,2,86,1010
26,Model_13,-5,4,1,1,13,13,11,2,86,1212
27,Model_13,1,4,1,13,9,1,13,1,84,1270
28,Model_13,0,13,9,9,13,4,1,2,87,1437
29,Model_13,-3,13,9,1,13,9,13,2,87,685
30,Model_13,-5,13,9,1,1,1,13,2,86,1043
31,Model_13,-5,13,9,4,13,1,1,2,85,1287
32,Model_13,5,13,9,10,1,4,13,1,87,1110
33,Model_13,1,10,1,5,13,13,9,1,86,938
34,Model_13,-5,5,13,1,4,10,1,2,81,1047
35,Model_13,-5,5,13,6,1,1,4,2,84,673
36,Model_13,-5,5,13,13,2,6,1,2,86,673
37,Model_13,-5,5,13,1,4,13,2,2,81,1174
38,Model_13,5,5,13,13,10,1,4,1,86,1103
39,Model_13,1,13,10,1,5,5,13,1,85,923
40,Model_13,-1,1,5,6,1,13,10,2,87,1348
41,Model_13,5,1,5,13,8,6,1,1,85,768
42,Model_13,1,13,8,13,1,1,5,1,82,1260
43,Model_13,-1,13,1,12,13,13,8,2,84,523
44,Model_13,-3,13,1,1,13,12,13,2,82,933
45,Model_13,-3,13,1,13,4,1,13,2,86,1764
46,Model_13,-5,13,1,13,11,13,4,1,85,253
47,Model_13,-3,13,11,1,1,13,1,1,82,857
48,Model_13,-3,1,1,1,4,13,11,2,81,1610
49,Model_13,5,1,1,1,12,1,4,1,84,253
50,Model_13,0,1,12,13,1,1,1,1,82,940
51,Model_13,-1,13,1,13,2,1,12,2,92,1864
52,Model_13,5,13,1,13,9,13,2,1,87,87
53,Model_13,3,13,9,1,1,13,1,1,83,672
54,Model_13,-5,1,1,2,13,13,9,2,82,1259
55,Model_13,-3,1,1,13,13,2,13,2,86,928
56,Model_13,-5,1,1,6,1,13,13,2,85,1627
57,Model_13,5,1,1,13,4,6,1,1,86,422
58,Model_13,1,13,4,5,13,1,1,1,82,1258
59,Model_13,-5,5,13,4,1,13,4,2,87,1010
60,Model_13,1,5,13,13,6,4,1,1,85,1120
61,Model_13,3,13,6,11,1,5,13,1,85,1260
