,name,condition,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,beanEaten,firstResponseTime,trialTime
0,Model_4,None,4,1,8,6,11,10,2,87,596
1,Model_4,5,4,1,1,13,8,6,1,86,763
2,Model_4,0,1,13,13,7,4,1,2,81,1258
3,Model_4,-1,1,13,2,1,13,7,2,83,1425
4,Model_4,-5,1,13,12,1,2,1,2,86,841
5,Model_4,-3,1,13,4,13,12,1,2,84,1698
6,Model_4,1,1,13,10,13,4,13,1,90,269
7,Model_4,3,10,13,1,1,1,13,1,86,820
8,Model_4,-1,1,1,2,1,10,13,2,84,1819
9,Model_4,3,1,1,9,1,2,1,1,90,90
10,Model_4,-1,9,1,1,13,1,1,1,98,772
11,Model_4,-1,1,13,2,13,9,1,2,93,1776
12,Model_4,3,1,13,13,13,2,13,1,83,83
13,Model_4,-5,13,13,1,5,1,13,2,84,720
14,Model_4,-5,13,13,12,1,1,5,2,83,1373
15,Model_4,0,13,13,1,3,12,1,2,85,1156
16,Model_4,-1,13,13,13,12,1,3,2,107,1923
17,Model_4,0,13,13,13,8,13,12,1,94,94
18,Model_4,1,13,8,1,13,13,13,1,86,440
19,Model_4,-3,1,13,6,1,13,8,2,91,1251
20,Model_4,1,1,13,13,12,6,1,1,91,1580
21,Model_4,5,13,12,7,1,1,13,1,87,1137
22,Model_4,-1,7,1,1,8,13,12,2,101,1385
23,Model_4,5,7,1,13,2,1,8,1,89,1109
24,Model_4,3,13,2,1,5,7,1,1,98,598
25,Model_4,-5,1,5,13,12,13,2,2,81,882
26,Model_4,1,1,5,4,1,13,12,1,91,1668
27,Model_4,3,4,1,3,13,1,5,1,85,601
28,Model_4,0,3,13,13,5,4,1,1,85,1108
29,Model_4,0,13,5,9,1,3,13,2,87,1546
30,Model_4,0,13,5,1,1,9,1,1,83,679
31,Model_4,-5,1,1,10,13,13,5,2,87,933
32,Model_4,-3,1,1,4,1,10,13,2,87,1538
33,Model_4,-1,1,1,8,1,4,1,1,83,257
34,Model_4,1,8,1,1,10,1,1,1,82,592
35,Model_4,-1,1,10,13,11,8,1,2,82,1278
36,Model_4,-3,1,10,13,1,13,11,2,82,850
37,Model_4,3,1,10,1,13,13,1,1,86,1791
38,Model_4,1,1,13,1,3,1,10,1,86,255
39,Model_4,-5,1,3,8,13,1,13,2,83,595
40,Model_4,1,1,3,2,1,8,13,1,84,1446
41,Model_4,3,2,1,1,9,1,3,1,85,253
42,Model_4,0,1,9,13,1,2,1,1,82,761
43,Model_4,-5,13,1,12,13,1,9,2,85,1272
44,Model_4,0,13,1,1,11,12,13,1,86,1101
45,Model_4,-5,1,11,8,13,13,1,2,87,1449
46,Model_4,-3,1,11,13,12,8,13,2,86,511
47,Model_4,0,1,11,11,1,13,12,2,85,1102
48,Model_4,-5,1,11,8,13,11,1,2,86,1275
49,Model_4,-1,1,11,13,10,8,13,2,86,679
50,Model_4,5,1,11,4,1,13,10,1,85,1104
51,Model_4,-5,4,1,7,13,1,11,2,86,683
52,Model_4,0,4,1,13,4,7,13,1,83,1261
53,Model_4,-1,13,4,1,9,4,1,2,84,906
54,Model_4,-1,13,4,13,13,1,9,2,88,1375
55,Model_4,5,13,4,1,11,13,13,1,86,819
56,Model_4,0,1,11,3,13,13,4,2,83,1706
57,Model_4,5,1,11,13,13,3,13,1,88,350
58,Model_4,-3,13,13,2,1,1,11,2,86,977
59,Model_4,-5,13,13,8,13,2,1,2,113,1714
60,Model_4,-3,13,13,2,13,8,13,1,84,439
61,Model_4,1,2,13,13,1,13,13,1,82,926
62,Model_4,-3,13,1,10,1,2,13,2,87,1821
63,Model_4,1,13,1,2,1,10,1,1,91,267
64,Model_4,-5,2,1,13,10,13,1,2,91,802
65,Model_4,-1,2,1,1,3,13,10,2,89,1680
66,Model_4,3,2,1,1,13,1,3,1,84,285
67,Model_4,3,1,13,13,6,2,1,1,85,1126
68,Model_4,-3,13,6,5,1,1,13,2,87,1393
69,Model_4,1,13,6,1,11,5,1,1,94,1267
70,Model_4,-3,1,11,4,1,13,6,2,103,1526
71,Model_4,5,1,11,13,10,4,1,1,95,1278
72,Model_4,5,13,10,9,1,1,11,1,97,1226
73,Model_4,-5,9,1,8,13,13,10,2,89,758
74,Model_4,5,9,1,1,2,8,13,1,88,1204
75,Model_4,-3,1,2,13,3,9,1,2,89,531
76,Model_4,-5,1,2,13,13,13,3,2,87,883
77,Model_4,-5,1,2,7,1,13,13,2,90,1615
78,Model_4,5,1,2,13,7,7,1,1,92,618
79,Model_4,3,13,7,10,13,1,2,1,93,1540
80,Model_4,3,10,13,7,1,13,7,1,97,798
81,Model_4,5,7,1,1,2,10,13,1,87,1333
82,Model_4,1,1,2,13,3,7,1,1,89,638
83,Model_4,-5,13,3,1,12,1,2,2,85,856
84,Model_4,0,13,3,11,1,1,12,1,81,1780
85,Model_4,0,11,1,13,7,13,3,1,89,348
86,Model_4,3,13,7,1,2,11,1,1,84,696
87,Model_4,-1,1,2,3,13,13,7,2,95,1442
88,Model_4,3,1,2,13,7,3,13,1,82,1127
89,Model_4,-1,13,7,6,13,1,2,2,93,1369
90,Model_4,1,13,7,1,4,6,13,1,86,1119
91,Model_4,-3,1,4,7,13,13,7,2,88,1039
92,Model_4,3,1,4,13,1,7,13,1,86,1396
93,Model_4,5,13,1,12,13,1,4,1,81,1386
94,Model_4,3,12,13,1,5,13,1,0,84,966
0,Model_4,3,2,10,4,2,7,8,1,97,623
1,Model_4,-5,4,2,4,13,2,10,2,87,435
2,Model_4,1,4,2,13,10,4,13,1,85,929
3,Model_4,-3,13,10,1,13,4,2,2,87,1183
4,Model_4,-5,13,10,1,2,1,13,2,97,949
5,Model_4,1,13,10,11,13,1,2,1,86,1694
6,Model_4,5,11,13,12,1,13,10,1,85,423
7,Model_4,5,12,1,1,5,11,13,1,82,1092
8,Model_4,-3,1,5,13,12,12,1,2,89,1011
9,Model_4,-1,1,5,6,1,13,12,2,85,1524
10,Model_4,0,1,5,13,3,6,1,2,82,762
11,Model_4,5,1,5,4,13,13,3,1,86,1194
12,Model_4,5,4,13,13,1,1,5,1,82,933
13,Model_4,-3,13,1,10,1,4,13,2,88,1548
14,Model_4,-1,13,1,8,1,10,1,2,90,180
15,Model_4,5,13,1,1,4,8,1,1,90,456
16,Model_4,3,1,4,7,13,13,1,1,88,1342
17,Model_4,3,7,13,13,10,1,4,1,88,1346
18,Model_4,5,13,10,1,5,7,13,1,88,784
19,Model_4,-3,1,5,8,1,13,10,2,97,1271
20,Model_4,-5,1,5,13,2,8,1,2,82,518
21,Model_4,-3,1,5,12,13,13,2,2,83,1055
22,Model_4,-1,1,5,6,1,12,13,2,107,1586
23,Model_4,1,1,5,13,4,6,1,1,92,837
24,Model_4,5,13,4,11,13,1,5,1,88,1164
25,Model_4,0,11,13,5,1,13,4,2,83,957
26,Model_4,0,11,13,13,11,5,1,2,103,1595
27,Model_4,0,11,13,13,7,13,11,1,87,363
28,Model_4,1,13,7,2,13,11,13,1,84,693
29,Model_4,-5,2,13,7,1,13,7,2,87,1026
30,Model_4,1,2,13,13,13,7,1,1,89,1448
31,Model_4,0,13,13,1,3,2,13,2,83,936
32,Model_4,-3,13,13,13,10,1,3,2,86,1618
33,Model_4,0,13,13,13,3,13,10,1,86,260
34,Model_4,-3,13,3,5,13,13,13,2,82,677
35,Model_4,1,13,3,12,1,5,13,1,82,1520
36,Model_4,-1,12,1,13,7,13,3,1,83,254
37,Model_4,0,13,7,3,1,12,1,1,82,594
38,Model_4,-1,3,1,4,13,13,7,2,81,1333
39,Model_4,-3,3,1,13,12,4,13,2,93,901
40,Model_4,1,3,1,1,2,13,12,1,84,1825
41,Model_4,-1,1,2,11,1,3,1,1,86,254
42,Model_4,-1,11,1,1,13,1,2,2,81,1024
43,Model_4,-3,11,1,13,6,1,13,2,86,1804
44,Model_4,-5,11,1,13,9,13,6,2,85,252
45,Model_4,1,11,1,6,13,13,9,1,82,837
46,Model_4,0,6,13,1,8,11,1,2,82,1525
47,Model_4,0,6,13,4,1,1,8,1,91,968
48,Model_4,1,4,1,13,5,6,13,1,115,1290
49,Model_4,1,13,5,1,12,4,1,1,89,1191
50,Model_4,0,1,12,2,13,13,5,2,84,1660
51,Model_4,-1,1,12,8,13,2,13,1,86,177
52,Model_4,-1,8,13,1,1,1,12,1,86,687
53,Model_4,-5,1,1,13,4,8,13,2,84,1236
54,Model_4,5,1,1,2,13,13,4,1,84,1352
55,Model_4,1,2,13,13,3,1,1,1,81,1146
56,Model_4,1,13,3,12,1,2,13,1,93,1877
57,Model_4,-5,12,1,13,11,13,3,1,92,284
58,Model_4,0,13,11,1,1,12,1,2,109,1337
59,Model_4,0,13,11,11,13,1,1,2,93,2009
60,Model_4,5,13,11,2,13,11,13,1,97,369
61,Model_4,-1,2,13,11,1,13,11,2,99,1111
62,Model_4,0,2,13,1,12,11,1,2,90,1935
63,Model_4,-1,2,13,1,2,1,12,1,90,176
64,Model_4,1,1,2,13,11,2,13,1,85,1137
65,Model_4,-3,13,11,8,13,1,2,2,86,1608
66,Model_4,-5,13,11,2,13,8,13,2,86,533
67,Model_4,0,13,11,1,1,2,13,1,88,1181
68,Model_4,-5,1,1,1,6,13,11,2,102,1517
69,Model_4,5,1,1,4,13,1,6,1,87,437
70,Model_4,5,4,13,13,9,1,1,1,127,1816
71,Model_4,3,13,9,8,1,4,13,1,117,1582
72,Model_4,-3,8,1,7,13,13,9,2,106,1074
73,Model_4,-3,8,1,1,9,7,13,2,107,1084
74,Model_4,5,8,1,13,1,1,9,1,100,1617
75,Model_4,3,13,1,1,2,8,1,1,127,545
76,Model_4,-5,1,2,13,11,13,1,2,102,1081
77,Model_4,0,1,2,2,1,13,11,2,121,2009
78,Model_4,1,1,2,6,1,2,1,1,96,185
79,Model_4,1,6,1,1,10,1,2,1,91,538
80,Model_4,3,1,10,13,11,6,1,1,111,1516
81,Model_4,5,13,11,10,1,1,10,1,107,1452
82,Model_4,1,10,1,1,13,13,11,1,122,1250
83,Model_4,-3,1,13,4,13,10,1,2,97,1676
84,Model_4,-5,1,13,5,13,4,13,2,96,96
85,Model_4,5,1,13,13,12,5,13,1,92,371
86,Model_4,-3,13,12,1,1,1,13,2,91,1087
87,Model_4,-1,13,12,11,13,1,1,2,89,2054
88,Model_4,3,13,12,1,13,11,13,1,94,270
89,Model_4,3,1,13,8,1,13,12,1,89,1376
90,Model_4,-1,8,1,13,7,1,13,2,114,1848
91,Model_4,0,8,1,8,13,13,7,1,94,1037
92,Model_4,0,8,13,1,6,8,1,0,87,928
0,Model_4,0,4,11,11,4,3,3,1,121,1032
1,Model_4,-3,11,4,1,3,4,11,2,107,1156
2,Model_4,-5,11,4,1,12,1,3,2,101,945
3,Model_4,1,11,4,9,1,1,12,1,119,1826
4,Model_4,1,9,1,13,8,11,4,1,96,495
5,Model_4,0,13,8,1,4,9,1,2,95,1111
6,Model_4,1,13,8,9,13,1,4,1,97,1612
7,Model_4,3,9,13,8,1,13,8,1,107,900
8,Model_4,-1,8,1,1,9,9,13,2,103,1238
9,Model_4,-1,8,1,11,13,1,9,2,87,1216
10,Model_4,5,8,1,1,3,11,13,1,82,1286
11,Model_4,1,1,3,13,6,8,1,1,84,787
12,Model_4,-5,13,6,1,13,1,3,2,84,883
13,Model_4,-5,13,6,3,1,1,13,2,90,1238
14,Model_4,3,13,6,9,13,3,1,1,90,1347
15,Model_4,5,9,13,2,1,13,6,1,88,936
16,Model_4,-1,2,1,1,3,9,13,2,87,1758
17,Model_4,-5,2,1,1,5,1,3,2,98,221
18,Model_4,3,2,1,1,13,1,5,1,117,547
19,Model_4,-5,1,13,13,1,2,1,2,124,1085
20,Model_4,-5,1,13,1,8,13,1,2,118,1902
21,Model_4,-1,1,13,1,2,1,8,1,90,505
22,Model_4,5,1,2,13,9,1,13,1,83,991
23,Model_4,-3,13,9,6,13,1,2,2,86,1406
24,Model_4,3,13,9,1,4,6,13,1,86,941
25,Model_4,3,1,4,1,1,13,9,1,85,1456
26,Model_4,-5,1,1,1,7,1,4,2,96,287
27,Model_4,-1,1,1,1,12,1,7,2,89,441
28,Model_4,5,1,1,13,8,1,12,1,101,1023
29,Model_4,-5,13,8,3,13,1,1,2,97,1258
30,Model_4,-3,13,8,1,3,3,13,2,89,1080
31,Model_4,-1,13,8,7,13,1,3,2,90,1416
32,Model_4,0,13,8,1,8,7,13,2,85,963
33,Model_4,5,13,8,11,1,1,8,1,84,1077
34,Model_4,-5,11,1,13,13,13,8,2,101,450
35,Model_4,5,11,1,1,6,13,13,1,93,1203
36,Model_4,-1,1,6,13,13,11,1,2,90,1342
37,Model_4,-3,1,6,9,1,13,13,2,102,1419
38,Model_4,-3,1,6,13,7,9,1,2,84,866
39,Model_4,0,1,6,6,13,13,7,1,85,1175
40,Model_4,5,6,13,13,1,1,6,1,91,1073
